Date,Total Deaths,Total Recoveries
"Mar 10, 2020",0,1
"Mar 11, 2020",0,2
"Mar 12, 2020",0,2
"Mar 13, 2020",0,3
"Mar 14, 2020",0,3
"Mar 15, 2020",0,3
"Mar 16, 2020",0,4
"Mar 17, 2020",0,4
"Mar 18, 2020",2,5
"Mar 19, 2020",2,5
"Mar 20, 2020",3,5
"Mar 21, 2020",3,5
"Mar 22, 2020",6,6
"Mar 23, 2020",6,6
"Mar 24, 2020",7,19
"Mar 25, 2020",8,21
"Mar 26, 2020",9,23
"Mar 27, 2020",11,25
"Mar 28, 2020",13,28
"Mar 29, 2020",18,32
"Mar 30, 2020",25,58
"Mar 31, 2020",26,82
"Apr 1, 2020",31,107
"Apr 2, 2020",35,126
"Apr 3, 2020",40,130
"Apr 4, 2020",45,170
"Apr 5, 2020",50,257
"Apr 6, 2020",54,429
"Apr 7, 2020",58,467
"Apr 8, 2020",63,572
"Apr 9, 2020",66,727
"Apr 10, 2020",71,762
"Apr 11, 2020",86,1026
"Apr 12, 2020",93,1095
"Apr 13, 2020",96,1378
"Apr 14, 2020",107,1446
"Apr 15, 2020",124,1645
"Apr 16, 2020",135,1765
"Apr 17, 2020",143,1832
"Apr 18, 2020",159,1868
"Apr 19, 2020",176,1970
"Apr 20, 2020",192,2066
"Apr 21, 2020",201,2073
