Date,Total Confirmed Positive Cases
"Mar 10, 2020",19
"Mar 11, 2020",20
"Mar 12, 2020",21
"Mar 13, 2020",28
"Mar 14, 2020",31
"Mar 15, 2020",53
"Mar 16, 2020",187
"Mar 17, 2020",238
"Mar 18, 2020",302
"Mar 19, 2020",457
"Mar 20, 2020",534
"Mar 21, 2020",646
"Mar 22, 2020",803
"Mar 23, 2020",892
"Mar 24, 2020",1000
"Mar 25, 2020",1102
"Mar 26, 2020",1235
"Mar 27, 2020",1405
"Mar 28, 2020",1526
"Mar 29, 2020",1625
"Mar 30, 2020",1861
"Mar 31, 2020",2039
"Apr 1, 2020",2289
"Apr 2, 2020",2450
"Apr 3, 2020",2708
"Apr 4, 2020",2880
"Apr 5, 2020",3287
"Apr 6, 2020",3864
"Apr 7, 2020",4074
"Apr 8, 2020",4317
"Apr 9, 2020",4598
"Apr 10, 2020",4784
"Apr 11, 2020",5038
"Apr 12, 2020",5374
"Apr 13, 2020",5716
"Apr 14, 2020",5985
"Apr 15, 2020",6528
"Apr 16, 2020",7016
"Apr 17, 2020",7479
"Apr 18, 2020",7993
"Apr 19, 2020",8420
"Apr 20, 2020",9216
"Apr 21, 2020",9565
